,raw,log,category
265,9.177042e-05,-9.296220534484787,9
266,0.000484367,-7.632667674122088,7
267,0.00014336476,-8.850118406163865,8
268,0.0009007869999999999,-7.0122417322993265,7
269,0.0002499366,-8.294303272263946,8
270,0.000829599,-7.094568106449876,7
271,0.0001205279,-9.023629296564009,9
272,0.0004324906,-7.745949965932575,7
273,7.132998e-05,-9.5481938420613,9
274,0.00014717088,-8.823916197326616,8
275,2.8475579999999997e-05,-10.466463680093955,
276,4.807016e-05,-9.942848947584643,9
277,3.8484360000000004e-05,-10.165258632972058,
278,3.01672e-05,-10.408755316524774,
279,3.66518e-05,-10.214048017604341,
280,2.9180419999999997e-05,-10.442012621553069,
281,4.313636e-05,-10.051144297011929,
282,4.186752000000001e-05,-10.081000210640394,
283,2.9744280000000005e-05,-10.422873713366235,
284,2.889848e-05,-10.45172155938477,
285,3.073108e-05,-10.390236037629814,
286,2.3259759999999998e-05,-10.668785729069722,
287,2.678396e-05,-10.527707357087237,
288,1.903072e-05,-10.86945604237457,
289,2.142718e-05,-10.750850348364926,
290,1.607038e-05,-11.038532731948068,
291,2.7347800000000003e-05,-10.50687447108851,
292,1.959458e-05,-10.840257560581687,
293,2.4951379999999998e-05,-10.59858142667508,
294,2.08634e-05,-10.777514130302253,
